model,epochs,best_epoch,fine_tuning,image_size,batch_size,lr,weight_decay,trainable_params,total_params,time_minutes,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,val_loss
convnext_tiny,5,4,True,224,64,3e-05,0.0001,27821666,27821666,5.9,0.9183987682832948,0.826461038961039,0.6144578313253012,0.7083333333333334,0.6580645161290323,0.9287337662337662,0.6872930706241664,0.3891411392940201
resnet18,5,5,True,224,64,3e-05,0.0001,11177538,11177538,5.28,0.9060816012317168,0.8377705627705627,0.5567010309278351,0.75,0.6390532544378699,0.9230489417989418,0.7123627238231243,0.3845635742362047
densenet121,5,5,True,224,64,3e-05,0.0001,6955906,6955906,5.71,0.8960739030023095,0.804788961038961,0.5238095238095238,0.6875,0.5945945945945946,0.9064454064454064,0.6649117501742794,0.4161493362510452
mobilenet_v3_large,5,5,True,224,64,3e-05,0.0001,4204594,4204594,5.52,0.8352578906851424,0.767550505050505,0.3684210526315789,0.6805555555555556,0.4780487804878048,0.8686087061087061,0.5732290421045473,0.4800023206432935
efficientnet_b0,5,5,True,224,64,3e-05,0.0001,4010110,4010110,5.52,0.829869130100077,0.7402056277056277,0.3501945525291828,0.625,0.4488778054862843,0.8582040644540644,0.5103678948631513,0.5099280307713245
