Model,Best epoch,Accuracy,Balanced Accuracy,Precision,Recall,F1-score,ROC-AUC,PR-AUC,Trainable Parameters,Total Parameters,Time (min)
convnext_tiny,4,0.9184,0.8265,0.6145,0.7083,0.6581,0.9287,0.6873,27821666,27821666,5.9
resnet18,5,0.9061,0.8378,0.5567,0.75,0.6391,0.923,0.7124,11177538,11177538,5.28
densenet121,5,0.8961,0.8048,0.5238,0.6875,0.5946,0.9064,0.6649,6955906,6955906,5.71
mobilenet_v3_large,5,0.8353,0.7676,0.3684,0.6806,0.478,0.8686,0.5732,4204594,4204594,5.52
efficientnet_b0,5,0.8299,0.7402,0.3502,0.625,0.4489,0.8582,0.5104,4010110,4010110,5.52
