experiment,architecture,backbone,epochs,best_epoch,loss_variant,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,val_pixel_iou_anomaly_only,val_pixel_dice_anomaly_only,trainable_params,total_params,time_minutes
glunet_resnet18_lambda05_e10,GLU-Net,resnet18,10,10,balanced_global_local_loss,0.939183987682833,0.8503066378066378,0.7210884353741497,0.7361111111111112,0.7285223367697594,0.9409060846560848,0.7956266224206089,0.1093054972342108,0.1643579990477346,14452963,14452963,11.38
sgglanet_convnext_lambda025_e5,SG-GLANet,convnext_tiny,5,5,multi_task_loss,0.9068514241724404,0.8716360028860028,0.5534883720930233,0.8263888888888888,0.6629526462395543,0.930179773929774,0.7323857762130379,0.0079158649016664,0.0120248383235329,30173987,30173987,5.99
baseline_convnext_tiny,Image-level baseline,convnext_tiny,5,4,weighted_cross_entropy,0.9183987682832948,0.826461038961039,0.6144578313253012,0.7083333333333334,0.6580645161290323,0.9287337662337662,0.6872930706241664,,,27821666,27821666,5.9
baseline_resnet18,Image-level baseline,resnet18,5,5,weighted_cross_entropy,0.9060816012317168,0.8377705627705627,0.5567010309278351,0.75,0.6390532544378699,0.9230489417989418,0.7123627238231243,,,11177538,11177538,5.28
sgglanet_v2_convnext_lambda025_e5,SG-GLANet,convnext_tiny,5,5,anomaly_focused_segmentation,0.8991531947652041,0.8429924242424243,0.5311004784688995,0.7708333333333334,0.6288951841359773,0.9171957671957672,0.7015353354887399,0.0002672008220901,0.0005287694969006,30173987,30173987,5.87
glunet_resnet18_lambda05_e5,GLU-Net,resnet18,5,5,balanced_global_local_loss,0.9037721324095458,0.815196608946609,0.5519125683060109,0.7013888888888888,0.617737003058104,0.905799062049062,0.6397064373700919,0.0687671215622173,0.1078805636664768,14452963,14452963,5.72
baseline_densenet121,Image-level baseline,densenet121,5,5,weighted_cross_entropy,0.8960739030023095,0.804788961038961,0.5238095238095238,0.6875,0.5945945945945946,0.9064454064454064,0.6649117501742794,,,6955906,6955906,5.71
