Model,Accuracy,Balanced Accuracy,Precision,Recall,F1-score,ROC-AUC,PR-AUC,Trainable Parameters,Total Parameters,Time (min)
mobilenet_v3_large,0.6305,0.6402,0.1794,0.6528,0.2814,0.6816,0.2484,1232642,4204594,2.21
densenet121,0.7152,0.5906,0.1771,0.4306,0.251,0.5872,0.1904,2050,6955906,2.29
efficientnet_b0,0.7206,0.5663,0.1631,0.3681,0.226,0.6043,0.1593,2562,4010110,2.82
resnet50,0.7113,0.5611,0.1573,0.3681,0.2204,0.6136,0.1743,4098,23512130,2.29
resnet18,0.4704,0.5532,0.1294,0.6597,0.2164,0.5501,0.1457,1026,11177538,2.18
convnext_tiny,0.6944,0.5394,0.1396,0.3403,0.198,0.5617,0.1317,3074,27821666,2.46
